Ref,Val,Package,PosX,PosY,Rot,Side
"C8","10uF","C0603",99.190000,-87.330000,0.000000,bottom
"D1","MB6S","SOIC4",90.500000,-103.300000,0.000000,bottom
"D3","F7","D_SOD-123",99.512617,-97.271261,0.000000,bottom
"IC1","TL431","SOT23B",95.450000,-87.360000,0.000000,bottom
"R1","2.2R","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",82.900000,-97.000000,-90.000000,bottom
"R7","510k","R0805",90.563187,-94.748212,180.000000,bottom
"R8","510k","R0805",94.986843,-94.703198,180.000000,bottom
"R10","2k","R0603",102.430000,-83.900000,90.000000,bottom
"R11","2k","R0603",102.430000,-89.110000,90.000000,bottom
"R12","240R","R0603",99.240000,-84.670000,0.000000,bottom
"R13","10R","R0603",99.500000,-94.600000,180.000000,bottom
"R14","220R","R0603",95.200000,-84.400000,0.000000,bottom
"TP10","TL2.5V","TestPoint_Pad_04",96.020000,-82.850000,180.000000,bottom
