Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF/400V","C_Disc_D7.5mm_W2.5mm_P4.00mm",82.400000,-103.400000,-90.000000,top
"C3","10uF/35V","CP_Elec_4x3.9",96.420000,-96.130000,0.000000,top
"C4","1nF/50V","C0603",86.800000,-100.600000,0.000000,top
"C5","1nF/50V","C0603",82.800000,-97.000000,0.000000,top
"C6","100pf2KV","C_Disc_D4.3mm_W1.9mm_P5.00mm",85.900000,-87.800000,90.000000,top
"C7","330uF/16V","C-TH-6.3x11P2.5H0.8",93.200000,-77.500000,90.000000,top
"C9","2.2nF/400V","C-CERAMIC-P9MM",88.000000,-78.400000,45.000000,top
"C10","1nF/50V","C0603",99.400000,-103.100000,90.000000,top
"D2","SS34","SMA(DO-214AC)",100.300000,-79.200000,0.000000,top
"D4","F7","D_SOD-123",89.300000,-102.700000,180.000000,top
"L1","0.1R","1K OHM",96.300000,-108.493129,0.000000,top
"NTC1","NTC 330kΩ","R0805",82.940000,-93.010000,0.000000,top
"P1","4holeSwitching","PawinSupply",92.139461,-91.991326,-90.000000,top
"Q2","LTV-217-G","SOP-4_4.4x2.6mm_P1.27mm",101.800000,-100.400000,-90.000000,top
"Q3","SWD6N65D","TO220_1",89.332600,-87.582200,-90.000000,top
"R2","2.2k","R0603",87.600000,-77.500000,0.000000,top
"R3","100R","R0603",91.500000,-100.600000,0.000000,top
"R4","10k","R0603",86.800000,-99.200000,0.000000,top
"R5","100R","R0603",91.500000,-99.200000,180.000000,top
"R9","220R","C0603",82.900000,-95.000000,180.000000,top
"T2","EE13-YK 5V1.2A","EE14-PC44",89.500000,-91.000000,90.000000,top
"TP1","ACN","TestPoint_Keystone_5000-5004_Miniature",86.710000,-109.200000,0.000000,top
"TP2","ACL","TestPoint_Keystone_5000-5004_Miniature",97.310000,-109.270000,0.000000,top
"TP3","CS","TestPoint_Pad_04",87.030000,-97.050000,0.000000,top
"TP4","GATE","TestPoint_Pad_04",89.160000,-99.200000,0.000000,top
"TP5","VDD","TestPoint_Pad_04",91.390000,-97.330000,0.000000,top
"TP6","FB","TestPoint_Pad_04",102.780000,-105.470000,0.000000,top
"TP7","RT","TestPoint_Pad_04",86.970000,-94.440000,0.000000,top
"TP8","GND","TestPoint_Keystone_5000-5004_Miniature",82.430000,-76.200000,0.000000,top
"TP9","+5V","TestPoint_Keystone_5000-5004_Miniature",102.500000,-76.180000,0.000000,top
"TP12","AC12V","TestPoint_Pad_04",102.360000,-81.560000,0.000000,top
"TP13","+310V","TestPoint_Pad_04",81.780000,-109.070000,0.000000,top
"TP14","GNDS","TestPoint_Pad_04",82.620000,-100.390000,0.000000,top
"U1","CR6855","TSOT-23-6",96.700000,-102.200000,180.000000,top
